 Created on  1Dec2019 at 16:53:37 
   -0.498022    0.662742    0.559238
    0.405353    0.675022    0.616469
   48.684211
    0.191093    0.570378   -0.798844
    0.490082    0.237752   -0.838626
    0.249138    0.725269   -0.641806
   -0.994477   -0.028936    0.100887
    0.390202    0.784866    0.481381
    0.619858   -0.131203    0.773668
   -0.614633   -0.676021   -0.406475
   -0.259047    0.054252   -0.964340
   -0.369457   -0.928632   -0.033826
   -0.395670   -0.901466   -0.175508
    0.175018   -0.588351   -0.789438
    0.019500    0.117171   -0.992920
   -0.480268    0.285206   -0.829458
   -0.220918    0.283200   -0.933270
   -0.199068    0.532748   -0.822527
   -0.643786   -0.566688    0.514203
   -0.074087    0.277860   -0.957760
   -0.568061   -0.772342    0.284242
    0.213619   -0.216813   -0.952554
   -0.393309   -0.653216   -0.647006
    0.970406   -0.059228   -0.234104
   -0.561726   -0.603025   -0.566414
    0.325408   -0.925472   -0.193937
    0.287077   -0.524973   -0.801243
    0.662858   -0.622478   -0.416102
   -0.394432   -0.635136    0.664098
    0.428501   -0.900577   -0.073134
    0.017878    0.583082   -0.812216
    0.530149   -0.846275   -0.052543
    0.891671   -0.447699   -0.067003
    0.207704   -0.960901   -0.183107
    0.472043   -0.641219   -0.604991
    0.286483    0.763852   -0.578323
    0.893548   -0.448775    0.013156
    0.923742    0.102717   -0.368986
    0.300106    0.465711   -0.832496
    0.608761    0.037764   -0.792455
    0.984781   -0.000098    0.173802
    0.934541    0.303230    0.186239
    0.232930    0.422530   -0.875906
    0.897323    0.371896   -0.237706
    0.448752   -0.871741   -0.196696
    0.590878   -0.795041   -0.137012
    0.967387    0.034995   -0.250873
    0.810160    0.469278   -0.351310
   -0.151827   -0.972246    0.178008
    0.480378   -0.402777   -0.779107
    0.925623   -0.053175   -0.374693
    0.344144   -0.257743   -0.902847
    0.691368   -0.450103   -0.565170
   -0.494008    0.717161   -0.491566
   -0.009275    0.149772   -0.988677
   -0.156699   -0.606275   -0.779664
    0.339512   -0.940602   -0.000216
   -0.801943   -0.131379    0.582775
    0.464928   -0.646223   -0.605175
   -0.342903   -0.090862   -0.934966
   -0.374920    0.114111   -0.920007
   -0.879916   -0.250248   -0.403886
    0.522184    0.492824   -0.696024
    0.617579    0.447388   -0.646869
   -0.578209   -0.529042   -0.621119
   -0.807716    0.278935   -0.519413
    0.499013    0.864961   -0.053178
   51.315789
    0.925439   -0.355787   -0.130305
   -0.125355    0.595536   -0.793488
    0.473314   -0.344255    0.810840
   -0.013557    0.817910    0.575186
    0.768291   -0.633198   -0.093753
   -0.655372   -0.495449   -0.570103
   -0.224078   -0.581101   -0.782375
    0.094305    0.984913    0.145094
    0.229895    0.635447   -0.737126
    0.631379   -0.028833   -0.774939
   -0.417285    0.674514   -0.609018
   -0.263882    0.697972    0.665733
    0.647509   -0.605367    0.462885
   -0.458198    0.513394   -0.725590
   -0.928954    0.255172   -0.268202
   -0.673206    0.079555    0.735163
    0.270205    0.902884   -0.334351
   -0.646609    0.698480   -0.306631
   -0.711849   -0.029597   -0.701709
    0.254741   -0.126097    0.958753
    0.711575    0.486341    0.507084
   -0.312725    0.008466   -0.949806
   -0.755079    0.648198    0.098459
    0.124099    0.979619   -0.157944
    0.731243    0.533330   -0.425256
   -0.319836   -0.165725   -0.932867
   -0.175970    0.588045    0.789454
   -0.865487    0.453317    0.213158
    0.954456   -0.251793   -0.160041
   -0.786708    0.175339   -0.591901
    0.372830    0.725370   -0.578650
    0.734957   -0.422919    0.530074
    0.724504   -0.124518    0.677930
    0.193091    0.462737    0.865211
   -0.097471    0.775808    0.623395
    0.962252   -0.228199    0.148311
