 Created on  1Dec2019 at 16:58:59 
    0.461031   -0.245413    0.852774
    0.454521    0.052526    0.889186
   -0.694798    0.272597   -0.665542
   -0.212876    0.006403   -0.977058
   -0.466078   -0.258945   -0.846002
    0.341911   -0.062173    0.937673
   -0.492245    0.162568   -0.855141
   -0.100371    0.062304   -0.992997
   -0.249041   -0.415135   -0.875010
   -0.221478    0.049213    0.973923
    0.444130   -0.053275    0.894377
   -0.002992    0.093478   -0.995617
    0.037303   -0.535743    0.843557
   -0.074764   -0.209569    0.974931
    0.442097    0.490863    0.750735
   -0.274545    0.005434   -0.961559
    0.670451   -0.153417    0.725919
    0.325643   -0.284361    0.901718
   -0.488754    0.545002   -0.681243
   -0.143839    0.219411   -0.964971
   -0.635043   -0.231587   -0.736945
   -0.262517   -0.413950    0.871625
   -0.451587   -0.236766   -0.860239
   -0.108104   -0.037440   -0.993434
   -0.289081   -0.503109   -0.814441
   -0.080863    0.139414   -0.986927
   -0.674328   -0.298833   -0.675263
    0.005909    0.011104    0.999921
   -0.145524    0.076843   -0.986366
   -0.108778    0.284594   -0.952457
   -0.429244   -0.366473   -0.825498
   -0.080970   -0.088726    0.992760
   -0.444224    0.281071   -0.850685
   -0.189352    0.303525   -0.933819
    0.238653   -0.353272    0.904568
    0.204673    0.129675    0.970203
    0.783703    0.203486    0.586858
   -0.172620    0.036156   -0.984325
    0.354271   -0.514494    0.780889
    0.116825   -0.361601    0.924985
    0.030178    0.045249    0.998520
   -0.309550    0.078446   -0.947642
   -0.542416   -0.321638   -0.776102
    0.289146   -0.313700    0.904426
   -0.381699   -0.071623   -0.921507
   -0.331241    0.088811   -0.939357
   -0.063327   -0.379726   -0.922929
    0.491399   -0.228830    0.840336
   -0.289902    0.237062   -0.927232
   -0.482009    0.209754   -0.850688
    0.210974   -0.121165    0.969953
   -0.073838   -0.149978    0.985928
    0.577712    0.322842    0.749682
    0.177304   -0.051675   -0.982799
    0.136700   -0.661377    0.737491
    0.426775    0.026708    0.903963
    0.315822    0.273557    0.908528
   12.085106
   -0.139419   -0.738749   -0.659403
   -0.130713   -0.385856   -0.913252
    0.167058    0.728532    0.664329
   -0.749292   -0.535210   -0.390015
   -0.631149   -0.221410   -0.743390
   -0.255217   -0.144995   -0.955950
    0.289786    0.775287    0.561208
   -0.815248   -0.517785   -0.259363
   -0.142444   -0.765887   -0.626998
    0.859904   -0.088016    0.502811
    0.538141    0.535822    0.650614
    0.009090    0.580427    0.814261
    0.186025   -0.862516   -0.470597
    0.501284    0.334044    0.798204
    0.232400    0.521098    0.821247
   -0.030111    0.332853    0.942498
   -0.399932   -0.448400   -0.799370
   -0.062943   -0.062663   -0.996048
    0.253575    0.732455    0.631830
   -0.627217   -0.321908   -0.709206
   -0.260594   -0.714959   -0.648787
   -0.491639   -0.448786   -0.746245
    0.450419    0.624308    0.638250
   -0.632785   -0.194027   -0.749624
   -0.303022   -0.590811   -0.747743
    0.707916    0.396835    0.584275
    0.368240    0.719362    0.588996
    0.289602   -0.209529    0.933932
    0.123789   -0.592909   -0.795698
    0.844597    0.414977    0.338306
    0.715774    0.300171    0.630527
    0.282609    0.451144    0.846523
   -0.084107    0.660064    0.746487
   -0.282181    0.306678    0.909023
   -0.049939   -0.630436   -0.774633
    0.076745    0.623743    0.777853
    0.678223    0.586152    0.443214
    0.338594    0.609674    0.716695
   -0.130069   -0.644160   -0.753750
    0.680364    0.414810    0.604183
    0.312263    0.806682    0.501753
   -0.644472    0.024364   -0.764240
   -0.192569   -0.873766   -0.446599
   -0.138683   -0.416558   -0.898469
    0.100199    0.360475    0.927371
   -0.584626   -0.423311   -0.692113
   -0.312083   -0.474988   -0.822794
    0.114564   -0.864752   -0.488957
    0.271061    0.326755    0.905404
    0.057777    0.390175    0.918926
   -0.099132   -0.827489   -0.552662
    0.480030    0.078547    0.873729
    0.392362    0.784997    0.479408
    0.098445    0.466251    0.879158
    0.022264   -0.447293   -0.894110
    0.856503    0.380717    0.348506
    0.085272    0.710427    0.698585
   -0.850864   -0.291528   -0.437084
   -0.258089   -0.628476   -0.733763
   -0.030813   -0.226095   -0.973618
   -0.190408    0.306352    0.932681
   -0.388689   -0.552527   -0.737316
   -0.452326   -0.789387   -0.415054
   -0.388661    0.017110   -0.921222
   -0.508254   -0.789980   -0.342944
    0.254695   -0.369688   -0.893566
   -0.051772    0.807758    0.587236
   -0.446538   -0.738076   -0.505814
   -0.734291   -0.647435   -0.204069
    0.076417    0.320451   -0.944178
    0.079088    0.714299    0.695357
   -0.781666   -0.430866   -0.450946
    0.284030   -0.839063   -0.464005
    0.832133   -0.038721    0.553222
    0.553586    0.823030    0.127138
    0.183343    0.262465    0.947363
    0.396598   -0.574387   -0.716094
    0.807436    0.393804    0.439277
    0.509009    0.605437    0.611846
    0.129065    0.246570    0.960492
   -0.578640   -0.688096   -0.437835
   -0.053755   -0.115979   -0.991796
    0.157055    0.677180    0.718861
   -0.411253   -0.675204   -0.612348
   -0.414096   -0.735124   -0.536766
    0.088179   -0.536931   -0.839005
    0.059568    0.776377    0.627448
   -0.790276   -0.140599   -0.596402
   -0.104475   -0.776482   -0.621418
    0.880602    0.342077    0.327908
    0.264156    0.831897    0.488025
   -0.091118    0.497187    0.862846
    0.144680   -0.603379   -0.784220
    0.564604    0.469497    0.678819
    0.403799    0.833945    0.376141
    0.596216   -0.570722    0.564626
    0.718366    0.579701    0.384574
   -0.085677   -0.061491    0.994424
   -0.233455   -0.802569   -0.548983
    0.696275    0.619398    0.362695
    0.149646    0.816491    0.557627
    0.626921    0.510960    0.588124
   -0.487146   -0.574724   -0.657557
    0.849121    0.214410    0.482724
    0.293264    0.813375    0.502411
   -0.911489    0.212408   -0.352237
   -0.688049   -0.701388   -0.186130
   -0.421652   -0.459194   -0.781889
    0.537019    0.630180    0.560789
   -0.807929   -0.116594   -0.577630
   -0.574246   -0.628305   -0.524857
   -0.243760   -0.517046   -0.820515
    0.262042    0.558423    0.787082
    0.259523    0.405140    0.876647
   -0.528100   -0.669143   -0.522836
    0.710633    0.304523    0.634245
    0.237093    0.629398    0.740031
    0.484468    0.664822    0.568597
   -0.030174   -0.809240   -0.586703
    0.612512    0.235496    0.754567
    0.350438    0.437605    0.828067
   -0.646089   -0.473977   -0.598260
   -0.607460   -0.554032   -0.569246
   -0.077336   -0.601582   -0.795059
    0.200943    0.720409    0.663802
   -0.660051   -0.429046   -0.616646
   -0.385335   -0.665063   -0.639693
   -0.038670   -0.733530   -0.678556
   13.702128
   -0.259923   -0.628626   -0.732987
    0.044615    0.187655   -0.981221
    0.601318    0.372776    0.706722
   -0.446330   -0.479024   -0.755861
   -0.344384   -0.390256   -0.853873
   -0.434638   -0.044923   -0.899484
    0.436255    0.749041    0.498617
   -0.552136    0.037676   -0.832902
   -0.113204   -0.276946   -0.954194
    0.163429    0.451332    0.877263
    0.274522    0.737756    0.616728
    0.281563    0.189708    0.940602
   -0.199073   -0.363887   -0.909921
    0.188363    0.027974    0.981701
    0.240711    0.666790    0.705301
    0.381888   -0.264570    0.885531
   -0.034223   -0.418838   -0.907416
    0.064482    0.217251   -0.973984
    0.359945    0.312386    0.879121
   -0.379314   -0.189576   -0.905639
    0.023657   -0.365647   -0.930453
   -0.264684    0.192855   -0.944854
    0.133716    0.505712    0.852277
